"id","name","section","name_updated"
814,Adoption Regulations Act,"17",
829,Adoption Regulations Act,"51",
850,Adoption Regulations Act,"52(4)",
851,Adoption Regulations Act,"55(2)",
870,Adoption Regulations Act,regulation12(2),
894,Hindu Adoptions and Maintenance Act,"7",
895,Hindu Adoptions and Maintenance Act,"9",
896,Hindu Adoptions and Maintenance Act,"10",
104,INDIAN PENAL CODE,"366","Indian Penal Code (IPC), 1860"
1571,Hindu Marriage Act,"75","Hindu Marriage Act, 1955"
1575,Protection of Children Sexual Offences 2012 Act,"4","Protection of Children from Sexual Offences Act, 2012"
1576,Protection of Children Sexual Offences 2012 Act,"6","Protection of Children from Sexual Offences Act, 2012"
1622,Child Marriage Act,"11 TW","The Prohibition of Child Marriage Act, 2006"
1624,Child Marriage Act,"05","The Prohibition of Child Marriage Act, 2006"
1636,Child Marriage Act,"13(6)","The Prohibition of Child Marriage Act, 2006"
1662,Prevention of Children from Sexual Offence,"4","Protection of Children from Sexual Offences Act, 2012"
1681,Child Marriage Act,"107","The Prohibition of Child Marriage Act, 2006"
1683,Child Marriage Act,"406","The Prohibition of Child Marriage Act, 2006"
1684,Child Marriage Act,"420","The Prohibition of Child Marriage Act, 2006"
1685,Child Marriage Act,"468","The Prohibition of Child Marriage Act, 2006"
1686,Child Marriage Act,"471","The Prohibition of Child Marriage Act, 2006"
1687,Child Marriage Act,"120b","The Prohibition of Child Marriage Act, 2006"
1701,Child Marriage Act,"3(2)","The Prohibition of Child Marriage Act, 2006"
1711,Family Court Act,"7","Family Courts Act, 1984"
1716,Hindu Marriage Act,"12(1)(c)","Hindu Marriage Act, 1955"
1717,POCSO Act-2012,"4","Protection of Children from Sexual Offences Act, 2012"
1718,POCSO Act-2012,"6","Protection of Children from Sexual Offences Act, 2012"
1719,POCSO Act-2012,"8","Protection of Children from Sexual Offences Act, 2012"
1720,POCSO Act-2012,"10","Protection of Children from Sexual Offences Act, 2012"
1726,Child Marriage Act,"18","The Prohibition of Child Marriage Act, 2006"
1748,POCSO Act-2012,"12","Protection of Children from Sexual Offences Act, 2012"
1749,Protection of Children from Sexual Offences 2012,"8","Protection of Children from Sexual Offences Act, 2012"
1816,Disaster Management Act 2005,"57","The Disaster Management Act, 2005"
1817,Child Marriage Act,"14","The Prohibition of Child Marriage Act, 2006"
1818,COPTA,"4","Cigarettes and Other Tobacco Products Act, 2003"
1819,COPTA,"6","Cigarettes and Other Tobacco Products Act, 2003"
1904,Hindu Marriage Act,"12(i)","Hindu Marriage Act, 1955"
1905,Child Marriage Act,"47(A)","The Prohibition of Child Marriage Act, 2006"
1909,Child Marriage Act,"12","The Prohibition of Child Marriage Act, 2006"
1910,Child Marriage Act,Posco,"The Prohibition of Child Marriage Act, 2006"
